Effective equivalent stratospheric chlorine (EESC)
Follwing Newman et al. (2007). ACP, 7, 4537-4552. 
Eq.1 with a = 1 for each ODS, calculate Cl/Br atoms * halogen release efficiency * gas mmr. multiply Br ODS by 60, and add them all up. (n*f*rho)
Month -  EESC 5.5yr [ppt]
    2001.625    4265.094
    2001.708    4261.969
    2001.792    4258.837
    2001.875    4255.655
    2001.958    4252.420
    2002.042    4249.825
    2002.125    4247.520
    2002.208    4245.212
    2002.292    4242.908
    2002.375    4240.604
    2002.458    4238.292
    2002.542    4236.116
    2002.625    4233.807
    2002.708    4231.503
    2002.792    4229.196
    2002.875    4226.887
    2002.958    4224.582
    2003.042    4222.267
    2003.125    4219.675
    2003.208    4217.264
    2003.292    4214.634
    2003.375    4212.099
    2003.458    4209.630
    2003.542    4207.168
    2003.625    4204.699
    2003.708    4202.167
    2003.792    4199.536
    2003.875    4197.065
    2003.958    4194.533
    2004.042    4192.210
    2004.125    4189.955
    2004.208    4187.819
    2004.292    4185.581
    2004.375    4183.382
    2004.458    4181.186
    2004.542    4179.004
    2004.625    4176.746
    2004.708    4174.613
    2004.792    4172.371
    2004.875    4170.177
    2004.958    4167.984
    2005.042    4165.747
    2005.125    4163.344
    2005.208    4160.948
    2005.292    4158.545
    2005.375    4156.151
    2005.458    4153.741
    2005.542    4151.463
    2005.625    4149.056
    2005.708    4146.664
    2005.792    4144.253
    2005.875    4141.857
    2005.958    4139.457
    2006.042    4137.273
    2006.125    4135.120
    2006.208    4133.026
    2006.292    4130.918
    2006.375    4128.717
    2006.458    4126.624
    2006.542    4124.587
    2006.625    4122.483
    2006.708    4120.341
    2006.792    4118.185
    2006.875    4116.032
    2006.958    4113.986
    2007.042    4111.758
    2007.125    4109.439
    2007.208    4107.184
    2007.292    4104.867
    2007.375    4102.494
    2007.458    4100.287
    2007.542    4097.920
    2007.625    4095.598
    2007.708    4093.347
    2007.792    4091.027
    2007.875    4088.776
    2007.958    4086.454
    2008.042    4084.156
    2008.125    4081.802
    2008.208    4079.397
    2008.292    4077.106
    2008.375    4074.703
    2008.458    4072.347
    2008.542    4070.124
    2008.625    4067.770
    2008.708    4065.365
    2008.792    4063.074
    2008.875    4060.672
    2008.958    4058.314
    2009.042    4055.979
    2009.125    4053.408
    2009.208    4050.909
    2009.292    4048.403
    2009.375    4045.833
    2009.458    4043.333
    2009.542    4040.887
    2009.625    4038.388
    2009.708    4035.817
    2009.792    4033.311
    2009.875    4030.810
    2009.958    4028.241
    2010.042    4025.947
    2010.125    4023.979
    2010.208    4021.720
    2010.292    4019.701
    2010.375    4017.621
    2010.458    4015.474
    2010.542    4013.330
    2010.625    4011.255
    2010.708    4009.167
    2010.792    4007.026
    2010.875    4004.935
    2010.958    4002.795
    2011.042    4000.846
    2011.125    3998.897
    2011.208    3996.847
    2011.292    3994.842
    2011.375    3992.788
    2011.458    3990.844
    2011.542    3988.958
    2011.625    3987.014
    2011.708    3984.959
    2011.792    3982.957
    2011.875    3980.905
    2011.958    3978.956
    2012.042    3977.041
    2012.125    3975.139
    2012.208    3973.300
    2012.292    3971.406
    2012.375    3969.446
    2012.458    3967.665
    2012.542    3965.719
    2012.625    3963.818
    2012.708    3961.978
    2012.792    3960.084
    2012.875    3958.124
    2012.958    3956.343
    2013.042    3954.435
    2013.125    3952.568
    2013.208    3950.711
    2013.292    3948.848
    2013.375    3946.991
    2013.458    3945.118
    2013.542    3943.255
    2013.625    3941.505
    2013.708    3939.531
    2013.792    3937.664
    2013.875    3935.806
    2013.958    3933.938
    2014.042    3932.113
    2014.125    3930.149
    2014.208    3928.245
    2014.292    3926.342
    2014.375    3924.378
    2014.458    3922.474
    2014.542    3920.691
    2014.625    3918.728
    2014.708    3916.823
    2014.792    3914.921
    2014.875    3913.017
    2014.958    3911.053
    2015.042    3909.063
    2015.125    3906.847
    2015.208    3904.816
    2015.292    3902.660
    2015.375    3900.569
    2015.458    3898.413
    2015.542    3896.212
    2015.625    3894.116
    2015.708    3891.965
    2015.792    3889.809
    2015.875    3887.778
    2015.958    3885.562
    2016.042    3883.373
    2016.125    3881.178
    2016.208    3878.989
    2016.292    3876.800
    2016.375    3874.606
    2016.458    3872.416
    2016.542    3870.240
    2016.625    3868.045
    2016.708    3865.856
    2016.792    3863.667
    2016.875    3861.472
    2016.958    3859.283
    2017.042    3857.028
    2017.125    3854.698
    2017.208    3852.431
    2017.292    3850.099
    2017.375    3847.766
    2017.458    3845.502
    2017.542    3843.170
    2017.625    3840.959
    2017.708    3838.573
    2017.792    3836.241
    2017.875    3834.031
    2017.958    3831.644
    2018.042    3829.339
    2018.125    3827.006
    2018.208    3824.673
    2018.292    3822.339
    2018.375    3820.006
    2018.458    3817.670
    2018.542    3815.396
    2018.625    3813.064
    2018.708    3810.727
    2018.792    3808.391
    2018.875    3806.061
